customer_id,quantity,selling_price,other_discount,coupon_discount,rented,income_bracket,coupon_id,Month,total,age_range_20,age_range_30,age_range_40,age_range_50,age_range_60,age_range_70,marital_status_Married,marital_status_Single,family_size_1,family_size_2,family_size_3,family_size_4,family_size_5,no_of_children_0,no_of_children_1,no_of_children_2,no_of_children_3,brand_type_Established,brand_type_Local,category_Bakery,"category_Dairy, Juices & Snacks",category_Flowers & Plants,category_Garden,category_Grocery,category_Meat,category_Miscellaneous,category_Natural Products,category_Packaged Meat,category_Pharmaceutical,category_Prepared Food,category_Salads,category_Seafood,category_Skin & Hair Care,category_Travel,category_Vegetables (cut),discount,delievry,fashion_cosmetic,grocery,transportation,ott,travel,restaurant,shopping,education,Pharmaceutical,Flowers & Plants,healthcare
17,948,70649.75,-18874.97,0.0,0.0,4045.0,148079,4665,91554.68,0.0,0.0,809.0,0.0,0.0,0.0,0.0,809.0,809.0,0.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,613.0,196.0,0.0,0.0,0.0,0.0,508.0,18.0,0.0,18.0,233.0,20.0,0.0,6.0,6.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
19,1954,108307.03,-29920.68,-231.5,0.0,4758.0,276819,10487,134860.25,0.0,0.0,0.0,1586.0,0.0,0.0,0.0,1586.0,1586.0,0.0,0.0,0.0,0.0,1586.0,0.0,0.0,0.0,1144.0,442.0,0.0,0.0,0.0,0.0,1179.0,54.0,0.0,15.0,215.0,118.0,1.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0
22,844,80914.2,-25658.989999999998,-7814.5199999999995,0.0,2764.0,195462,2905,110943.35,0.0,0.0,691.0,0.0,0.0,0.0,0.0,691.0,0.0,691.0,0.0,0.0,0.0,691.0,0.0,0.0,0.0,573.0,118.0,0.0,2.0,0.0,0.0,508.0,12.0,0.0,47.0,56.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0
27,2101,189363.66,-34628.39,-899.41,0.0,14272.0,394514,8932,244403.18,0.0,0.0,1784.0,0.0,0.0,0.0,1784.0,0.0,0.0,1784.0,0.0,0.0,0.0,1784.0,0.0,0.0,0.0,1428.0,356.0,2.0,27.0,0.0,0.0,1195.0,93.0,0.0,137.0,241.0,54.0,2.0,0.0,26.0,4.0,3.0,0.0,0,1,0,0,1,0,1,1,0,0,0,0,1
28,3462,322481.73,-40506.26,-747.98,0.0,3045.0,364128,19105,381391.0,0.0,0.0,0.0,3045.0,0.0,0.0,0.0,3045.0,0.0,3045.0,0.0,0.0,0.0,3045.0,0.0,0.0,0.0,1634.0,1411.0,0.0,50.0,0.0,0.0,1430.0,262.0,0.0,483.0,216.0,487.0,0.0,0.0,109.0,8.0,0.0,0.0,1,1,0,0,1,0,0,0,1,0,1,0,1
30,1276,95044.81999999999,-35070.91,-1223.53,0.0,5230.0,126442,7018,127016.94,0.0,0.0,0.0,0.0,0.0,1046.0,0.0,1046.0,1046.0,0.0,0.0,0.0,0.0,1046.0,0.0,0.0,0.0,751.0,295.0,0.0,46.0,0.0,0.0,546.0,222.0,1.0,10.0,116.0,57.0,0.0,0.0,48.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
31,604,43414.12,-3537.08,-587.6999999999999,0.0,1064.0,93658,4602,71874.46,0.0,0.0,532.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,532.0,405.0,127.0,0.0,3.0,0.0,0.0,148.0,12.0,0.0,18.0,8.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,1,0,0
33,2095,209302.71,-55272.409999999996,-409.63,0.0,13095.0,280187,9153,360809.14999999997,0.0,0.0,0.0,1455.0,0.0,0.0,1455.0,0.0,0.0,0.0,0.0,0.0,1455.0,0.0,0.0,0.0,1455.0,1207.0,248.0,0.0,13.0,3.0,0.0,842.0,31.0,0.0,135.0,222.0,186.0,5.0,0.0,9.0,3.0,6.0,0.0,0,1,0,1,1,0,1,1,1,0,1,0,1
35,567,51510.97,-11567.29,-730.2099999999999,0.0,1876.0,38257,2065,64891.99,469.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,469.0,0.0,0.0,0.0,469.0,0.0,0.0,0.0,349.0,120.0,0.0,0.0,0.0,0.0,344.0,15.0,0.0,25.0,0.0,55.0,0.0,0.0,2.0,28.0,0.0,0.0,1,0,1,0,1,1,0,0,0,0,0,0,0
36,4178,232549.78,-59227.59,-656.47,0.0,8520.0,461558,13381,544245.19,0.0,0.0,2130.0,0.0,0.0,0.0,2130.0,0.0,0.0,2130.0,0.0,0.0,0.0,2130.0,0.0,0.0,0.0,1729.0,401.0,1.0,5.0,0.0,0.0,1773.0,23.0,0.0,63.0,91.0,160.0,0.0,0.0,6.0,8.0,0.0,0.0,0,1,0,0,1,0,0,1,1,0,1,0,0
38,1758,147640.73,-23658.489999999998,-35.62,0.0,7045.0,301781,8290,200006.6,0.0,0.0,0.0,1409.0,0.0,0.0,0.0,1409.0,0.0,1409.0,0.0,0.0,0.0,1409.0,0.0,0.0,0.0,1142.0,267.0,0.0,18.0,6.0,0.0,908.0,41.0,0.0,151.0,124.0,136.0,6.0,0.0,19.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,1,1
39,403,31508.17,-8457.64,0.0,0.0,1472.0,56804,2440,35432.03,0.0,0.0,0.0,0.0,0.0,368.0,368.0,0.0,0.0,368.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,293.0,75.0,0.0,5.0,0.0,0.0,272.0,6.0,0.0,15.0,34.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,2099,208852.08,-41454.95,-1521.02,0.0,12705.0,411256,11870,262476.29,0.0,0.0,0.0,0.0,1815.0,0.0,1815.0,0.0,0.0,0.0,0.0,1815.0,0.0,0.0,0.0,1815.0,0.0,1257.0,558.0,1.0,23.0,0.0,3.0,1264.0,66.0,0.0,58.0,279.0,111.0,0.0,0.0,10.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,0,0,1,1
41,887,80495.3,-19369.33,0.0,0.0,2408.0,86582,3873,145609.7,0.0,0.0,0.0,602.0,0.0,0.0,0.0,602.0,0.0,602.0,0.0,0.0,0.0,602.0,0.0,0.0,0.0,537.0,65.0,0.0,0.0,0.0,0.0,379.0,12.0,1.0,47.0,10.0,132.0,0.0,0.0,0.0,21.0,0.0,0.0,1,0,1,0,1,0,0,0,1,0,0,0,0
42,3405,302623.83,-68085.86,-2813.92,0.0,26856.0,682383,17806,365619.39,0.0,2984.0,0.0,0.0,0.0,0.0,2984.0,0.0,0.0,0.0,0.0,2984.0,0.0,0.0,0.0,2984.0,0.0,2534.0,450.0,1.0,3.0,9.0,0.0,2074.0,81.0,0.0,311.0,144.0,281.0,8.0,0.0,67.0,5.0,0.0,0.0,1,1,0,1,1,1,0,1,1,0,1,1,1
45,3205,237708.15,-71000.79,-10668.07,0.0,2022.0,493770,12302,483496.83,0.0,0.0,0.0,2022.0,0.0,0.0,2022.0,0.0,0.0,0.0,0.0,0.0,2022.0,0.0,0.0,0.0,2022.0,1721.0,301.0,0.0,2.0,3.0,0.0,1491.0,18.0,0.0,254.0,175.0,34.0,0.0,0.0,6.0,36.0,3.0,0.0,1,1,1,1,1,0,1,0,1,0,0,0,1
48,883,73463.84,-21738.26,-427.42,0.0,2013.0,94253,3568,115076.8,0.0,0.0,671.0,0.0,0.0,0.0,671.0,0.0,0.0,671.0,0.0,0.0,0.0,671.0,0.0,0.0,0.0,423.0,248.0,0.0,0.0,0.0,0.0,441.0,39.0,0.0,59.0,102.0,7.0,0.0,3.0,20.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0
51,1665,76083.05,-24444.12,-605.53,0.0,2114.0,101412,5735,136928.69999999998,0.0,0.0,0.0,0.0,0.0,1057.0,1057.0,0.0,0.0,1057.0,0.0,0.0,0.0,1057.0,0.0,0.0,0.0,634.0,423.0,0.0,3.0,0.0,0.0,824.0,48.0,3.0,38.0,41.0,77.0,0.0,0.0,12.0,11.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0
52,2526,216388.15,-42028.09,-1161.24,0.0,14588.0,458341,9116,272641.32,0.0,0.0,2084.0,0.0,0.0,0.0,2084.0,0.0,0.0,0.0,0.0,0.0,2084.0,0.0,0.0,0.0,2084.0,1259.0,825.0,0.0,6.0,3.0,0.0,1486.0,96.0,3.0,116.0,154.0,172.0,3.0,0.0,43.0,2.0,0.0,0.0,0,1,0,1,1,0,0,1,1,0,1,0,1
53,1974,107495.2,-19154.06,0.0,0.0,3141.0,269895,6579,243497.25999999998,0.0,0.0,0.0,0.0,1047.0,0.0,0.0,1047.0,1047.0,0.0,0.0,0.0,0.0,1047.0,0.0,0.0,0.0,885.0,162.0,0.0,28.0,0.0,0.0,821.0,0.0,5.0,24.0,90.0,75.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0
55,1301,91366.73,-34239.12,-118.97,0.0,4985.0,153450,5345,148333.23,0.0,0.0,0.0,997.0,0.0,0.0,0.0,997.0,0.0,997.0,0.0,0.0,0.0,997.0,0.0,0.0,0.0,582.0,415.0,0.0,0.0,0.0,0.0,730.0,42.0,0.0,57.0,117.0,36.0,1.0,0.0,12.0,2.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0
58,2417,193976.82,-45860.1,-167.41,0.0,7976.0,419228,12043,246406.01,0.0,1994.0,0.0,0.0,0.0,0.0,0.0,1994.0,1994.0,0.0,0.0,0.0,0.0,1994.0,0.0,0.0,0.0,1477.0,517.0,0.0,10.0,6.0,0.0,1399.0,54.0,3.0,79.0,165.0,180.0,0.0,0.0,93.0,5.0,0.0,0.0,1,1,0,0,1,1,0,0,1,0,1,1,1
59,1167,121491.85,-20914.19,-89.05,0.0,3468.0,211428,5983,191372.36,0.0,0.0,0.0,0.0,0.0,867.0,0.0,867.0,867.0,0.0,0.0,0.0,0.0,867.0,0.0,0.0,0.0,710.0,157.0,4.0,6.0,0.0,0.0,492.0,58.0,0.0,78.0,125.0,72.0,1.0,3.0,23.0,2.0,3.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1
66,1830,137224.54,-41394.83,-37.410000000000004,0.0,9960.0,347798,9860,159670.44,0.0,0.0,0.0,1660.0,0.0,0.0,0.0,1660.0,1660.0,0.0,0.0,0.0,0.0,1660.0,0.0,0.0,0.0,1198.0,462.0,2.0,0.0,3.0,0.0,1270.0,51.0,0.0,106.0,182.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1
67,685,42210.14,-10311.32,0.0,0.0,2440.0,84809,3763,52704.46,0.0,0.0,610.0,0.0,0.0,0.0,0.0,610.0,0.0,610.0,0.0,0.0,0.0,0.0,610.0,0.0,0.0,343.0,267.0,0.0,15.0,0.0,0.0,408.0,57.0,1.0,42.0,48.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0
69,1862,146612.26,-59016.49,-1691.95,0.0,890.0,139360,6204,753304.77,0.0,0.0,0.0,890.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,890.0,0.0,485.0,405.0,0.0,0.0,3.0,0.0,664.0,54.0,0.0,3.0,128.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0,1,0,0,0,0
71,2363,150650.56,-42770.04,-3542.2999999999997,0.0,6732.0,452133,12434,235862.47999999998,0.0,0.0,1683.0,0.0,0.0,0.0,1683.0,0.0,0.0,0.0,0.0,0.0,1683.0,0.0,0.0,0.0,1683.0,1516.0,167.0,2.0,0.0,3.0,0.0,1388.0,20.0,0.0,67.0,170.0,30.0,1.0,0.0,0.0,2.0,0.0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,0
72,3086,198919.73,-65352.26,-630.51,0.0,2463.0,386382,14532,278454.44,0.0,2463.0,0.0,0.0,0.0,0.0,0.0,2463.0,0.0,0.0,2463.0,0.0,0.0,0.0,0.0,2463.0,0.0,1637.0,826.0,0.0,0.0,3.0,0.0,1643.0,155.0,0.0,162.0,448.0,14.0,1.0,0.0,35.0,2.0,0.0,0.0,1,1,0,1,1,1,0,0,1,0,0,0,1
74,1070,73268.81999999999,-14130.27,0.0,0.0,1968.0,175644,5884,84933.68,0.0,984.0,0.0,0.0,0.0,0.0,984.0,0.0,0.0,984.0,0.0,0.0,0.0,984.0,0.0,0.0,0.0,727.0,257.0,0.0,6.0,5.0,0.0,615.0,106.0,0.0,125.0,72.0,22.0,0.0,0.0,17.0,16.0,0.0,0.0,1,0,1,0,1,1,0,0,0,0,0,1,0
75,1609,107036.18,-26804.26,-80.13,0.0,5344.0,201265,8341,136849.61,0.0,1336.0,0.0,0.0,0.0,0.0,0.0,1336.0,1336.0,0.0,0.0,0.0,0.0,1336.0,0.0,0.0,0.0,712.0,624.0,0.0,0.0,6.0,3.0,941.0,38.0,0.0,108.0,151.0,46.0,1.0,0.0,40.0,2.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0,0,1,1
78,6249,524709.02,-105398.24,-2662.49,0.0,38160.0,1066876,28387,704807.1,0.0,0.0,4770.0,0.0,0.0,0.0,4770.0,0.0,0.0,0.0,0.0,4770.0,0.0,0.0,0.0,4770.0,0.0,3669.0,1101.0,5.0,22.0,9.0,0.0,3319.0,78.0,4.0,576.0,436.0,263.0,13.0,0.0,12.0,33.0,0.0,0.0,1,1,1,1,1,0,0,1,1,0,1,1,1
79,1431,117089.25,-19474.14,0.0,0.0,4328.0,187332,5137,169872.07,0.0,1082.0,0.0,0.0,0.0,0.0,0.0,1082.0,0.0,1082.0,0.0,0.0,0.0,1082.0,0.0,0.0,0.0,839.0,243.0,0.0,5.0,6.0,3.0,655.0,21.0,0.0,48.0,177.0,151.0,0.0,0.0,0.0,10.0,6.0,0.0,1,0,1,0,1,1,1,0,0,0,0,1,0
82,1283,102415.73,-25804.19,-890.4799999999999,0.0,4848.0,248539,7056,108567.98,0.0,0.0,0.0,0.0,0.0,1212.0,0.0,1212.0,0.0,1212.0,0.0,0.0,0.0,1212.0,0.0,0.0,0.0,764.0,448.0,0.0,13.0,3.0,0.0,870.0,39.0,9.0,69.0,111.0,48.0,0.0,0.0,50.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
83,1924,142267.37,-16873.05,0.0,0.0,6524.0,243046,10524,177083.71,0.0,0.0,0.0,1631.0,0.0,0.0,0.0,1631.0,1631.0,0.0,0.0,0.0,0.0,1631.0,0.0,0.0,0.0,1331.0,300.0,0.0,21.0,0.0,0.0,1276.0,15.0,1.0,98.0,138.0,63.0,4.0,0.0,4.0,11.0,0.0,0.0,1,1,1,0,1,0,0,0,1,0,0,0,0
84,591,69772.06,-7567.99,-426.72,0.0,4488.0,125800,3536,71637.1,0.0,0.0,0.0,561.0,0.0,0.0,0.0,561.0,561.0,0.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0,473.0,88.0,0.0,16.0,6.0,0.0,273.0,5.0,0.0,68.0,96.0,70.0,5.0,0.0,22.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,1,1
85,1176,99138.1,-19600.09,-195.91,0.0,3009.0,177600,6477,127459.27,0.0,0.0,0.0,1003.0,0.0,0.0,0.0,1003.0,0.0,0.0,1003.0,0.0,0.0,0.0,1003.0,0.0,0.0,659.0,344.0,0.0,0.0,0.0,0.0,604.0,83.0,0.0,31.0,235.0,24.0,2.0,0.0,18.0,3.0,3.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0
87,1196,101711.77,-24873.71,-142.48,0.0,4400.0,197674,6548,115767.36,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,702.0,398.0,0.0,12.0,0.0,0.0,709.0,156.0,6.0,61.0,134.0,17.0,3.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,1,0,0,0,0
89,1330,93594.35,-33561.0,-3561.91,0.0,2682.0,164127,5950,152693.18,0.0,0.0,0.0,894.0,0.0,0.0,0.0,894.0,894.0,0.0,0.0,0.0,0.0,894.0,0.0,0.0,0.0,594.0,300.0,0.0,3.0,7.0,0.0,578.0,21.0,0.0,90.0,120.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0
90,2382,215253.47,-44874.24,-886.93,0.0,9075.0,262967,10399,332114.12,0.0,0.0,0.0,1815.0,0.0,0.0,0.0,1815.0,0.0,1815.0,0.0,0.0,0.0,1815.0,0.0,0.0,0.0,984.0,831.0,1.0,6.0,7.0,6.0,1177.0,90.0,0.0,154.0,211.0,137.0,0.0,0.0,15.0,11.0,0.0,0.0,0,0,1,0,1,0,0,1,1,0,0,1,1
92,1373,115710.8,-30569.93,-678.5699999999999,0.0,946.0,191341,5593,204616.62,0.0,0.0,0.0,946.0,0.0,0.0,946.0,0.0,0.0,946.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,865.0,81.0,0.0,29.0,12.0,0.0,533.0,12.0,0.0,198.0,102.0,48.0,2.0,0.0,10.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1
93,2499,205142.52,-54577.49,-552.11,0.0,4794.0,321869,9133,388031.02,0.0,0.0,0.0,0.0,1598.0,0.0,1598.0,0.0,0.0,1598.0,0.0,0.0,0.0,1598.0,0.0,0.0,0.0,1106.0,492.0,0.0,0.0,0.0,0.0,1040.0,66.0,0.0,102.0,286.0,59.0,1.0,0.0,44.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
94,1622,113571.09,-26279.95,0.0,0.0,6635.0,242813,6217,142789.75,0.0,0.0,0.0,1327.0,0.0,0.0,0.0,1327.0,1327.0,0.0,0.0,0.0,0.0,1327.0,0.0,0.0,0.0,867.0,460.0,1.0,3.0,6.0,0.0,890.0,12.0,3.0,76.0,248.0,86.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,1,1
97,946,61461.1,-10028.66,-730.18,0.0,4128.0,100070,4611,91161.42,0.0,0.0,688.0,0.0,0.0,0.0,0.0,688.0,688.0,0.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,508.0,180.0,0.0,5.0,30.0,0.0,418.0,60.0,0.0,117.0,26.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0
103,2676,252745.42,-36607.92,0.0,0.0,9724.0,605895,12921,286615.42,0.0,0.0,0.0,2431.0,0.0,0.0,0.0,2431.0,0.0,2431.0,0.0,0.0,0.0,2431.0,0.0,0.0,0.0,2068.0,363.0,0.0,9.0,0.0,0.0,1431.0,54.0,0.0,188.0,351.0,364.0,2.0,0.0,22.0,10.0,0.0,0.0,0,1,1,0,1,0,0,1,1,0,1,0,1
105,1005,90299.95,-18635.079999999998,-441.68999999999994,0.0,4430.0,187767,5232,108970.53,0.0,0.0,886.0,0.0,0.0,0.0,0.0,886.0,0.0,0.0,886.0,0.0,0.0,0.0,886.0,0.0,0.0,729.0,157.0,0.0,0.0,0.0,0.0,690.0,24.0,0.0,27.0,83.0,56.0,0.0,0.0,6.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0
107,1119,104896.24,-18841.12,-8.9,0.0,1936.0,206800,6917,128264.36,968.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,0.0,968.0,0.0,0.0,0.0,968.0,0.0,0.0,0.0,708.0,260.0,0.0,7.0,9.0,0.0,673.0,30.0,0.0,67.0,43.0,133.0,0.0,0.0,4.0,2.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0,0,1,0
108,595,39235.479999999996,-14319.5,-2049.96,0.0,2460.0,96349,3140,51792.95,0.0,0.0,0.0,492.0,0.0,0.0,0.0,492.0,492.0,0.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,350.0,142.0,0.0,0.0,0.0,0.0,317.0,90.0,0.0,30.0,43.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0
110,1230,131824.74,-22857.03,0.0,0.0,6450.0,201058,5285,163748.49,1075.0,0.0,0.0,0.0,0.0,0.0,1075.0,0.0,0.0,0.0,1075.0,0.0,0.0,0.0,1075.0,0.0,0.0,671.0,404.0,0.0,0.0,0.0,0.0,707.0,67.0,0.0,47.0,168.0,73.0,0.0,0.0,10.0,3.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0
112,2763,189376.21,-50779.13,-473.76,0.0,9248.0,513059,14024,239336.07,0.0,0.0,0.0,2312.0,0.0,0.0,0.0,2312.0,0.0,2312.0,0.0,0.0,0.0,2312.0,0.0,0.0,0.0,1679.0,633.0,0.0,0.0,0.0,0.0,1883.0,35.0,1.0,38.0,230.0,54.0,3.0,0.0,64.0,4.0,0.0,0.0,0,1,0,0,1,0,0,1,1,0,0,0,1
113,1004,73294.44,-34518.82,-705.28,0.0,2992.0,105726,3973,114664.13,0.0,0.0,0.0,0.0,748.0,0.0,748.0,0.0,0.0,748.0,0.0,0.0,0.0,748.0,0.0,0.0,0.0,466.0,282.0,0.0,3.0,6.0,3.0,350.0,57.0,0.0,55.0,213.0,36.0,1.0,0.0,24.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1
114,718,67634.7,-9932.22,0.0,0.0,2415.0,73836,3033,111282.78,0.0,483.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,483.0,0.0,0.0,207.0,276.0,4.0,3.0,0.0,0.0,365.0,12.0,3.0,18.0,47.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0
119,1742,185712.76,-30929.88,-682.12,0.0,3306.0,165099,6688,322520.58,0.0,0.0,0.0,1102.0,0.0,0.0,0.0,1102.0,1102.0,0.0,0.0,0.0,0.0,1102.0,0.0,0.0,0.0,676.0,426.0,0.0,1.0,0.0,3.0,603.0,117.0,3.0,108.0,123.0,134.0,1.0,0.0,2.0,7.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0
